Algorithm,Data Type,Input Size (n),Comparisons,Time (seconds),Complexity Class,Notes
Selection Sort,Already Sorted,100,4950,0.0004,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,100,99,0.0,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,100,316,0.0001,O(n log n),Consistent performance
Quick Sort,Already Sorted,100,666,0.0001,O(n log n),Good with median pivot
Bubble Sort,Already Sorted,500,499,0.0001,O(n),Best case - early exit
Selection Sort,Already Sorted,500,124750,0.0109,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,500,499,0.0001,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,500,2216,0.0014,O(n log n),Consistent performance
Quick Sort,Already Sorted,500,7014,0.0013,O(n log n),Good with median pivot
Bubble Sort,Already Sorted,1000,999,0.0001,O(n),Best case - early exit
Selection Sort,Already Sorted,1000,499500,0.0432,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,1000,999,0.0002,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,1000,4932,0.002,O(n log n),Consistent performance
Quick Sort,Already Sorted,1000,19313,0.0027,O(n log n),Good with median pivot
Bubble Sort,Already Sorted,2000,1999,0.0002,O(n),Best case - early exit
Selection Sort,Already Sorted,2000,1999000,0.1705,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,2000,1999,0.0004,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,2000,10864,0.0044,O(n log n),Consistent performance
Quick Sort,Already Sorted,2000,56392,0.008,O(n log n),Good with median pivot
Bubble Sort,Already Sorted,5000,4999,0.0007,O(n),Best case - early exit
Selection Sort,Already Sorted,5000,12497500,1.043,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,5000,4999,0.001,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,5000,29804,0.0101,O(n log n),Consistent performance
Quick Sort,Already Sorted,5000,218704,0.0275,O(n log n),Good with median pivot
Bubble Sort,Already Sorted,10000,9999,0.0011,O(n),Best case - early exit
Selection Sort,Already Sorted,10000,49995000,4.1755,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,10000,9999,0.0023,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,10000,64608,0.0256,O(n log n),Consistent performance
Quick Sort,Already Sorted,10000,626982,0.0771,O(n log n),Good with median pivot
Bubble Sort,Already Sorted,20000,19999,0.0022,O(n),Best case - early exit
Selection Sort,Already Sorted,20000,199990000,16.4883,O(n^2),No benefit from sorted
Insertion Sort,Already Sorted,20000,19999,0.004,O(n),Best case - minimal shifts
Merge Sort,Already Sorted,20000,139216,0.0455,O(n log n),Consistent performance
Quick Sort,Already Sorted,20000,1770777,0.209,O(n log n),Good with median pivot
Bubble Sort,Reverse Sorted,100,4950,0.001,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,100,4950,0.0004,O(n^2),Same as average
Insertion Sort,Reverse Sorted,100,4950,0.0008,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,100,356,0.0002,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,100,663,0.0001,O(n log n),Handled by median pivot
Bubble Sort,Reverse Sorted,500,124750,0.0248,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,500,124750,0.0117,O(n^2),Same as average
Insertion Sort,Reverse Sorted,500,124750,0.0243,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,500,2272,0.0012,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,500,5147,0.0011,O(n log n),Handled by median pivot
Bubble Sort,Reverse Sorted,1000,499500,0.1225,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,1000,499500,0.0537,O(n^2),Same as average
Insertion Sort,Reverse Sorted,1000,499500,0.0839,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,1000,5044,0.0022,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,1000,12030,0.003,O(n log n),Handled by median pivot
Bubble Sort,Reverse Sorted,2000,1999000,0.443,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,2000,1999000,0.1764,O(n^2),Same as average
Insertion Sort,Reverse Sorted,2000,1999000,0.3834,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,2000,11088,0.0039,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,2000,26962,0.0061,O(n log n),Handled by median pivot
Bubble Sort,Reverse Sorted,5000,12497500,2.7464,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,5000,12497500,1.0675,O(n^2),Same as average
Insertion Sort,Reverse Sorted,5000,12497500,2.1756,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,5000,32004,0.0107,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,5000,80308,0.017,O(n log n),Handled by median pivot
Bubble Sort,Reverse Sorted,10000,49995000,11.1697,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,10000,49995000,4.3986,O(n^2),Same as average
Insertion Sort,Reverse Sorted,10000,49995000,8.7742,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,10000,69008,0.0223,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,10000,176715,0.0362,O(n log n),Handled by median pivot
Bubble Sort,Reverse Sorted,20000,199990000,44.5884,O(n^2),Worst case - max swaps
Selection Sort,Reverse Sorted,20000,199990000,17.0163,O(n^2),Same as average
Insertion Sort,Reverse Sorted,20000,199990000,34.8765,O(n^2),Worst case - max shifts
Merge Sort,Reverse Sorted,20000,148016,0.0468,O(n log n),Consistent performance
Quick Sort,Reverse Sorted,20000,389649,0.0807,O(n log n),Handled by median pivot
